,times(seconds),x,y,z
1834,36.74465182295545,1.38146,0.09662,0.0
1835,36.76468707476731,1.3813,0.10254,0.0
1836,36.78472232657917,1.38083,0.10811,0.0
1837,36.80475757839103,1.38038,0.11372,0.0
1838,36.824792830202895,1.37982,0.11988,0.0
1839,36.84482808201476,1.37894,0.12674,0.0
1840,36.86486333382662,1.37783,0.13426,0.0
1841,36.88489858563848,1.37637,0.14224,0.0
1842,36.90493383745034,1.37469,0.15049,0.0
1843,36.924969089262206,1.37311,0.15921,0.0
1844,36.94500434107407,1.37134,0.16764,0.0
1845,36.96503959288593,1.37002,0.17559,0.0
1846,36.98507484469779,1.36914,0.1834,0.0
1847,37.005110096509654,1.36804,0.19034,0.0
1848,37.025145348321516,1.36706,0.1972,0.0
1849,37.04518060013338,1.36658,0.20421,0.0
1850,37.06521585194524,1.366,0.21086,0.0
1851,37.0852511037571,1.36492,0.21753,0.0
1852,37.105286355568964,1.36409,0.22511,0.0
1853,37.125321607380826,1.36324,0.23351,0.0
1854,37.14535685919269,1.36163,0.24196,0.0
1855,37.16539211100455,1.35992,0.25069,0.0
1856,37.18542736281642,1.35831,0.25988,0.0
1857,37.20546261462828,1.35644,0.26839,0.0
1858,37.22549786644014,1.35459,0.27677,0.0
1859,37.245533118252006,1.35323,0.28504,0.0
1860,37.26556837006387,1.35196,0.29282,0.0
1861,37.28560362187573,1.35079,0.30051,0.0
1862,37.30563887368759,1.34976,0.30813,0.0
1863,37.325674125499454,1.34869,0.31562,0.0
1864,37.345709377311316,1.34773,0.32363,0.0
1865,37.36574462912318,1.34669,0.33177,0.0
1866,37.38577988093504,1.34549,0.34014,0.0
1867,37.4058151327469,1.34435,0.34878,0.0
1868,37.425850384558764,1.34109,0.36659,0.0
1869,37.445885636370626,1.33964,0.37542,0.0
1870,37.46592088818249,1.33779,0.38406,0.0
1871,37.48595613999435,1.33624,0.39263,0.0
1872,37.50599139180621,1.33481,0.40111,0.0
1873,37.526026643618074,1.33343,0.40926,0.0
1874,37.546061895429936,1.33218,0.41744,0.0
1875,37.5660971472418,1.33115,0.42555,0.0
1876,37.58613239905366,1.33012,0.43359,0.0
1877,37.60616765086552,1.32886,0.44195,0.0
1878,37.626202902677385,1.32764,0.45042,0.0
1879,37.64623815448925,1.32604,0.45908,0.0
1880,37.66627340630111,1.32433,0.46811,0.0
1881,37.68630865811297,1.32282,0.47721,0.0
1882,37.70634390992483,1.32099,0.48624,0.0
1883,37.726379161736695,1.31924,0.49506,0.0
1884,37.74641441354856,1.31772,0.50414,0.0
1885,37.766449665360426,1.31616,0.51285,0.0
1886,37.78648491717229,1.31456,0.52143,0.0
1887,37.80652016898415,1.31307,0.53024,0.0
1888,37.82655542079601,1.31184,0.53874,0.0
1889,37.846590672607874,1.31034,0.54721,0.0
