,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
313,-0.08254,-0.01026,-1.06567,0.02912,-0.07544,0.1427
314,-0.06281,0.06153,-0.94575,-0.08919,0.03081,0.11102
315,0.01755,0.21731,-0.96718,0.06276,-0.01361,-0.13232
316,-0.02746,0.00826,-1.05379,-0.01148,-0.03969,0.03587
317,-0.04779,0.00382,-0.99876,-0.14121,-0.00173,0.04732
318,0.06763,0.04526,-0.98652,0.06572,0.0146,-0.12286
319,0.01304,-0.06294,-1.00442,0.02711,-0.04009,0.03726
320,-0.01031,-0.05341,-1.02887,-0.21311,0.08018,0.06484
321,0.06143,0.00057,-0.98175,0.17548,-0.00283,-0.12295
322,0.00975,-0.02896,-0.9833,-0.01005,0.03801,0.00458
323,-0.04402,-0.01935,-1.06885,-0.21906,-0.01812,0.05834
324,0.01673,0.07394,-0.99099,0.06081,0.06366,-0.10736
325,-0.02041,0.03047,-0.93316,0.10034,-0.06503,0.0523
326,-0.07822,0.03362,-1.09793,-0.09957,-0.12477,0.08752
327,-0.0114,0.13573,-0.99729,0.05355,0.03835,-0.09274
328,-0.07417,0.0057,-1.13681,-0.13245,-0.06689,0.12136
329,-0.00582,0.03596,-1.02876,0.07755,-0.09625,-0.00567
330,0.0543,0.03083,-0.81537,-0.03068,0.05952,-0.07477
331,-0.02789,-0.02265,-1.18495,-0.16325,-0.04202,0.09552
332,0.00987,-0.01269,-1.03745,0.12587,-0.10522,-0.02248
333,0.05231,0.00168,-0.81701,-0.0301,0.08363,-0.01625
334,-0.02621,-0.03235,-1.18926,-0.15438,-0.0763,0.13279
335,0.02146,0.02048,-1.01017,0.12255,-0.13252,-0.09412
336,0.02573,0.05601,-0.82142,-0.06259,0.08732,-0.0448
337,-0.06794,-0.02345,-1.175,-0.17272,-0.02184,0.11716
338,-0.03243,0.03764,-1.02765,0.06699,-0.10639,-0.04857
339,-0.00144,0.06041,-0.82575,-0.04127,0.08496,0.00757
340,-0.06339,0.00173,-1.1465,-0.02924,-0.05738,0.05921
341,-0.03383,0.05905,-0.99634,-0.06671,0.00741,-0.04814
342,0.01522,0.06182,-0.90532,0.0799,-0.02018,-0.01275
343,-0.03624,-0.04354,-1.12774,0.02435,0.02504,0.06602
344,0.0123,-0.00507,-0.93228,-0.10669,0.02956,0.03112
345,0.03367,0.07672,-0.96775,0.02588,0.00367,-0.04308
346,0.01052,-0.07277,-1.10202,0.05434,-0.00712,0.04663
347,0.00334,0.00447,-0.92422,-0.20329,0.0735,-0.00421
348,0.02212,0.05926,-1.04684,-0.055,0.01512,-0.04545
349,-0.03173,-0.07968,-1.04369,0.10178,-0.07266,0.10469
350,-0.01179,0.0759,-0.91716,-0.13358,0.14682,-0.03671
351,-0.00154,0.06946,-1.03285,0.0682,0.08119,-0.05152
352,-0.07134,-0.07068,-1.02961,0.06026,0.07008,0.11134
353,-0.01718,0.09882,-0.9223,-0.01351,0.01154,-0.07975
354,-0.00782,0.04883,-1.05736,0.08199,-0.05447,-0.06721
355,0.01063,0.09506,-0.96543,-0.07837,0.00784,-0.04367
356,0.02883,-0.01363,-1.05528,0.06934,-0.06001,-0.00798
357,-0.02607,-0.01499,-0.96804,-0.10902,-0.04154,0.02249
358,0.03939,0.05462,-0.9923,0.06165,0.14909,-0.05212
359,0.04044,-0.05799,-1.00426,-0.00295,-0.01674,0.07571
360,-0.01024,0.05014,-1.02974,0.0235,-0.05981,-0.04793
361,0.0381,0.02027,-0.98643,0.18555,0.05391,-0.04832
362,-0.03712,-0.08373,-1.00168,-0.04661,-0.00685,0.13839
363,-0.02117,0.12568,-0.99796,-0.07758,0.01297,-0.10992
