,tof1,tof2,tof3,tof4
927,1142,0,0,0
928,1142,0,0,0
929,1089,0,0,0
930,1089,0,0,0
931,1089,0,0,0
932,1027,0,0,0
933,1027,0,0,0
934,971,0,0,0
935,971,0,0,0
936,905,0,0,0
937,905,0,0,0
938,905,0,0,0
939,858,0,0,0
940,858,0,0,0
941,809,0,0,0
942,809,0,0,0
943,764,0,0,0
944,764,0,0,0
945,764,0,0,0
946,717,0,0,0
947,717,0,0,0
948,669,0,0,0
949,669,0,0,0
950,669,0,0,0
951,619,0,0,0
952,619,0,0,0
953,579,0,0,0
954,579,0,0,0
955,579,0,0,0
956,540,0,0,0
957,540,0,0,0
958,507,0,0,0
959,507,0,0,0
960,507,0,0,0
961,472,0,0,0
962,472,0,0,0
963,435,0,0,0
964,435,0,0,0
965,421,0,0,0
966,421,0,0,0
967,421,0,0,0
968,377,0,0,0
969,377,0,0,0
970,347,0,0,0
971,347,0,0,0
972,347,0,0,0
973,317,0,0,0
974,317,0,0,0
975,290,0,0,0
976,290,0,0,0
977,290,0,0,0
978,263,0,0,0
979,263,0,0,0
980,272,0,0,0
981,272,0,0,0
982,256,0,0,0
983,256,0,0,0
984,256,0,0,0
985,242,0,0,0
986,242,0,0,0
987,224,0,0,0
988,224,0,0,0
989,224,0,0,0
990,205,0,0,0
991,205,0,0,0
992,194,0,0,0
993,194,0,0,0
994,186,0,0,0
995,186,0,0,0
996,186,0,0,0
997,183,0,0,0
998,183,0,0,0
999,178,0,0,0
1000,178,0,0,0
1001,175,0,0,0
1002,175,0,0,0
1003,175,0,0,0
1004,170,0,0,0
1005,170,0,0,0
1006,169,0,0,0
1007,169,0,0,0
1008,169,0,0,0
1009,165,0,0,0
1010,165,0,0,0
1011,161,0,0,0
1012,161,0,0,0
1013,159,0,0,0
1014,159,0,0,0
1015,159,0,0,0
1016,159,0,0,0
1017,159,0,0,0
1018,159,0,0,0
1019,159,0,0,0
1020,159,0,0,0
1021,160,0,0,0
1022,160,0,0,0
1023,162,0,0,0
1024,162,0,0,0
1025,162,0,0,0
1026,172,0,0,0
1027,172,0,0,0
1028,164,0,0,0
1029,164,0,0,0
1030,164,0,0,0
1031,164,0,0,0
1032,164,0,0,0
1033,164,0,0,0
1034,164,0,0,0
1035,164,0,0,0
1036,174,0,0,0
1037,174,0,0,0
1038,173,0,0,0
1039,173,0,0,0
1040,173,0,0,0
1041,173,0,0,0
1042,173,0,0,0
1043,172,0,0,0
1044,172,0,0,0
1045,172,0,0,0
1046,171,0,0,0
1047,171,0,0,0
1048,171,0,0,0
1049,171,0,0,0
1050,171,0,0,0
1051,173,0,0,0
1052,173,0,0,0
1053,176,0,0,0
1054,176,0,0,0
1055,176,0,0,0
1056,179,0,0,0
1057,179,0,0,0
1058,183,0,0,0
1059,183,0,0,0
1060,186,0,0,0
1061,186,0,0,0
1062,186,0,0,0
1063,187,0,0,0
1064,187,0,0,0
1065,188,0,0,0
1066,188,0,0,0
1067,188,0,0,0
1068,190,0,0,0
1069,190,0,0,0
1070,190,0,0,0
1071,194,0,0,0
1072,194,0,0,0
1073,196,0,0,0
