,x,y,z
286,1.22765,0.00441,0.0
287,1.22743,0.01362,0.0
288,1.22747,0.02353,0.0
289,1.22746,0.03317,0.0
290,1.22701,0.04264,0.0
291,1.22658,0.05119,0.0
292,1.22647,0.0591,0.0
293,1.22633,0.06661,0.0
294,1.22627,0.07314,0.0
295,1.22606,0.07904,0.0
296,1.22606,0.08489,0.0
297,1.22596,0.09064,0.0
298,1.22565,0.09664,0.0
299,1.22532,0.10366,0.0
300,1.225,0.11135,0.0
301,1.22469,0.11945,0.0
302,1.22419,0.12807,0.0
303,1.22374,0.13672,0.0
304,1.22329,0.14538,0.0
305,1.22311,0.15375,0.0
306,1.22304,0.16189,0.0
307,1.22281,0.16952,0.0
308,1.22303,0.17653,0.0
309,1.2234,0.18357,0.0
310,1.22371,0.19065,0.0
311,1.22382,0.19759,0.0
312,1.22381,0.20521,0.0
313,1.2237,0.21356,0.0
314,1.22319,0.22181,0.0
315,1.22251,0.23054,0.0
316,1.22223,0.23972,0.0
317,1.22176,0.24882,0.0
318,1.22117,0.25772,0.0
319,1.2211,0.26651,0.0
320,1.22111,0.27485,0.0
321,1.22138,0.28274,0.0
322,1.22186,0.29064,0.0
323,1.22227,0.29842,0.0
324,1.22261,0.30623,0.0
325,1.22297,0.31456,0.0
326,1.22304,0.32305,0.0
327,1.22269,0.33193,0.0
328,1.22249,0.34116,0.0
329,1.22225,0.35007,0.0
330,1.22188,0.35895,0.0
331,1.22179,0.36791,0.0
332,1.22193,0.37667,0.0
333,1.22215,0.38553,0.0
334,1.22277,0.40266,0.0
335,1.2232,0.41123,0.0
336,1.2236,0.41979,0.0
337,1.2236,0.41979,0.0
338,1.22442,0.43741,0.0
339,1.22457,0.44635,0.0
340,1.22495,0.45542,0.0
341,1.22485,0.46443,0.0
342,1.22465,0.47371,0.0
343,1.22472,0.48302,0.0
344,1.22455,0.49215,0.0
345,1.22452,0.50128,0.0
346,1.22471,0.51046,0.0
347,1.22501,0.51933,0.0
348,1.22554,0.52832,0.0
349,1.2261,0.53738,0.0
350,1.22635,0.54622,0.0
351,1.22666,0.55548,0.0
352,1.22701,0.5649,0.0
353,1.22695,0.57414,0.0
354,1.22698,0.58357,0.0
355,1.22698,0.58357,0.0
356,1.22689,0.60248,0.0
357,1.22679,0.61212,0.0
358,1.22691,0.62164,0.0
359,1.22694,0.63097,0.0
360,1.22743,0.64052,0.0
361,1.22796,0.64989,0.0
362,1.22848,0.65921,0.0
363,1.22947,0.67751,0.0
364,1.22985,0.68705,0.0
365,1.23007,0.69649,0.0
366,1.23008,0.70613,0.0
367,1.23008,0.71606,0.0
368,1.23006,0.72589,0.0
369,1.23008,0.73581,0.0
370,1.23021,0.74557,0.0
371,1.23048,0.75507,0.0
372,1.23073,0.7647,0.0
373,1.23128,0.77426,0.0
374,1.23191,0.78382,0.0
375,1.23245,0.79345,0.0
376,1.23312,0.80298,0.0
377,1.23359,0.81258,0.0
378,1.23416,0.82221,0.0
379,1.23437,0.8317,0.0
380,1.23472,0.84169,0.0
381,1.23505,0.85173,0.0
382,1.2353,0.86153,0.0
383,1.23563,0.87147,0.0
384,1.23595,0.88119,0.0
385,1.23642,0.89087,0.0
386,1.23692,0.90044,0.0
387,1.23771,0.91002,0.0
388,1.23835,0.91972,0.0
389,1.23912,0.92915,0.0
390,1.23993,0.93883,0.0
391,1.24075,0.94868,0.0
392,1.24172,0.95851,0.0
393,1.24242,0.96826,0.0
394,1.24337,0.9781,0.0
395,1.24408,0.98774,0.0
396,1.24505,0.99784,0.0
397,1.24587,1.00766,0.0
398,1.24671,1.01737,0.0
399,1.2478,1.02702,0.0
400,1.24885,1.03653,0.0
401,1.25007,1.04607,0.0
402,1.2512,1.05507,0.0
403,1.25215,1.06344,0.0
404,1.25315,1.07112,0.0
405,1.25389,1.078,0.0
406,1.2544,1.0843,0.0
407,1.255,1.09012,0.0
408,1.25551,1.09576,0.0
409,1.25608,1.10666,0.0
410,1.25668,1.11238,0.0
411,1.25758,1.11879,0.0
412,1.25841,1.12524,0.0
413,1.25907,1.13111,0.0
414,1.26006,1.13666,0.0
415,1.26123,1.14196,0.0
416,1.26222,1.14671,0.0
417,1.26281,1.1505,0.0
418,1.26317,1.15324,0.0
419,1.26367,1.15548,0.0
420,1.26419,1.15754,0.0
421,1.26471,1.15942,0.0
422,1.26524,1.16113,0.0
423,1.26582,1.16271,0.0
424,1.26628,1.16397,0.0
425,1.26683,1.16485,0.0
426,1.26734,1.16553,0.0
427,1.26783,1.16599,0.0
428,1.26842,1.1663,0.0
429,1.26898,1.16669,0.0
430,1.26954,1.16711,0.0
431,1.2702,1.16757,0.0
432,1.27085,1.16797,0.0
433,1.27154,1.1683,0.0
434,1.2722,1.16858,0.0
435,1.2728,1.16875,0.0
436,1.27348,1.16878,0.0
437,1.27407,1.16873,0.0
438,1.27458,1.16867,0.0
439,1.27505,1.16864,0.0
440,1.27556,1.16858,0.0
441,1.27601,1.16857,0.0
442,1.27649,1.16856,0.0
443,1.27692,1.16854,0.0
444,1.27728,1.16854,0.0
445,1.27757,1.16858,0.0
446,1.27773,1.16866,0.0
447,1.27782,1.16874,0.0
448,1.27777,1.1688,0.0
449,1.27762,1.16888,0.0
450,1.27742,1.16893,0.0
451,1.27726,1.16896,0.0
452,1.27712,1.16893,0.0
453,1.27696,1.16885,0.0
454,1.27686,1.16885,0.0
455,1.2768,1.16888,0.0
456,1.27676,1.16891,0.0
457,1.27672,1.16894,0.0
458,1.27677,1.1689,0.0
459,1.27683,1.16886,0.0
460,1.27689,1.16883,0.0
461,1.27696,1.16878,0.0
462,1.27708,1.16873,0.0
463,1.27716,1.16867,0.0
464,1.27732,1.16874,0.0
465,1.27736,1.16873,0.0
466,1.2774,1.16866,0.0
467,1.27742,1.16856,0.0
468,1.27747,1.16845,0.0
469,1.27751,1.1684,0.0
470,1.27753,1.1684,0.0
471,1.27757,1.16839,0.0
472,1.27748,1.1685,0.0
473,1.27686,1.16888,0.0
474,1.27522,1.16947,0.0
475,1.27212,1.17049,0.0
476,1.26742,1.17178,0.0
477,1.26071,1.17321,0.0
478,1.25309,1.17441,0.0
479,1.24472,1.17506,0.0
480,1.23596,1.17571,0.0
