,tof1,tof2,tof3,tof4,speed,angle,timestamp,state,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,x,y,z,yaw,pitch,roll
77,2688.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.28458,0.04573,-0.96477,0.0273,-0.05796,-0.00293,0.00936,-0.00057,0.0,-1.18,-4.56,-1.66
78,2639.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.35356,0.04622,-0.95655,-0.00787,0.13266,0.0332,0.01556,-0.00101,0.0,-1.18,-4.56,-1.66
79,2639.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.33838,0.04429,-1.00036,0.01595,-0.01733,-0.03471,0.02374,-0.00134,0.0,-1.19,-4.37,-1.64
80,2639.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.27209,0.02396,-1.10007,-0.01861,-0.17453,-0.01598,0.03293,-0.00153,0.0,-1.25,-4.51,-1.65
81,2604.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.13098,-0.01688,-1.02314,0.04385,-0.01738,0.00811,0.04232,-0.00136,0.0,-1.25,-4.66,-1.64
82,2604.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.13226,0.01122,-0.8644,-0.00614,0.10401,-0.02956,0.05208,-0.00152,0.0,-1.29,-4.62,-1.62
83,2550.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.0027,-0.0038,-1.08601,-0.0624,-0.22598,0.03535,0.0618,-0.00202,0.0,-1.27,-4.72,-1.65
84,2550.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.11299,0.03392,-1.08854,-0.02853,0.01727,-0.08116,0.07075,-0.0022,0.0,-1.33,-4.87,-1.64
85,2550.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.15893,0.02056,-0.8471,-0.0211,0.08074,-0.04119,0.07905,-0.00228,0.0,-1.43,-4.77,-1.62
86,2528.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.23905,-0.03863,-1.02627,-0.03419,-0.08527,0.07944,0.08627,-0.00271,0.0,-1.37,-4.77,-1.62
87,2528.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.24392,-0.0077,-1.13076,0.0588,-0.08563,0.00893,0.09224,-0.0028,0.0,-1.33,-4.87,-1.62
88,2504.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",-0.1481,0.06508,-0.89863,-0.01384,0.08301,-0.06715,0.09744,-0.00303,0.0,-1.4,-4.82,-1.62
89,2504.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.03433,0.02931,-1.02148,-0.03057,0.10332,0.01215,0.10727,-0.00336,0.0,-1.35,-4.7,-1.6
90,2472.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.13942,0.00626,-1.06351,-0.10559,0.00567,0.04428,0.10727,-0.00336,0.0,-1.31,-4.6,-1.59
91,2472.0,0.0,0.0,0.0,"[-3, 2, 3, -4]","[22929, 12600, 9209, 12774]","[2166096, 2166097, 2166099, 2166094]","[0, 0, 0, 0]",0.16292,0.01195,-1.07033,0.00896,0.04136,-0.00767,0.11948,-0.00337,0.0,-1.3,-4.54,-1.67
