,not_importance\distance_(speed 1.5),not_importance\distance_(speed 1.5),not_importance\distance_(speed 1.5),not_importance\distance_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\esc_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\imu_(speed 1.5),not_importance\position_(speed 1.5),not_importance\position_(speed 1.5),not_importance\position_(speed 1.5),not_importance\Attitude_(speed 1.5),not_importance\Attitude_(speed 1.5),not_importance\Attitude_(speed 1.5)
,tof1,tof2,tof3,tof4,speed,angle,timestamp,state,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,x,y,z,yaw,pitch,roll
64,3198.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01417,0.01428,-1.0024,-0.00575,0.0073,0.00793,-0.00031,0.00015,0.0,-2.26,-5.89,-0.51
65,3198.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01327,0.01309,-1.0027,-0.00783,0.00698,0.01062,-0.00031,0.00015,0.0,-2.25,-5.89,-0.51
66,3196.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01276,0.0149,-1.00187,-0.00463,0.00576,0.00797,-0.00031,0.00014,0.0,-2.26,-5.89,-0.51
67,3196.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.0136,0.01405,-1.00289,-0.00442,0.00567,0.0087,-0.0003,0.00014,0.0,-2.25,-5.89,-0.51
68,3193.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01287,0.01396,-1.00194,-0.00649,0.00678,0.00695,-0.00029,0.00011,0.0,-2.25,-5.89,-0.51
69,3193.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01513,0.01454,-1.00046,-0.00686,0.00769,0.0054,-0.00027,9e-05,0.0,-2.25,-5.89,-0.51
70,3193.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01612,0.01442,-1.00322,-0.00489,0.00676,0.00656,-0.00026,9e-05,0.0,-2.25,-5.89,-0.51
71,3230.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01538,0.01431,-1.00336,-0.00757,0.00775,0.00746,-0.00025,9e-05,0.0,-2.25,-5.89,-0.51
72,3230.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01504,0.0138,-1.00397,-0.0077,0.00803,0.00822,-0.00026,0.00011,0.0,-2.25,-5.89,-0.51
73,3205.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01484,0.01498,-1.00315,-0.00625,0.00806,0.00557,-0.00027,0.00011,0.0,-2.25,-5.89,-0.51
74,3205.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01467,0.01497,-1.0031,-0.00491,0.00855,0.00542,-0.00028,0.00013,0.0,-2.26,-5.89,-0.51
75,3205.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01439,0.01509,-1.00356,-0.00604,0.0071,0.00502,-0.00029,0.00012,0.0,-2.26,-5.89,-0.51
76,3209.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01389,0.01432,-1.00321,-0.00577,0.00752,0.00631,-0.00029,0.00012,0.0,-2.25,-5.89,-0.51
77,3209.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01264,0.01471,-1.00451,-0.00435,0.00776,0.00657,-0.00028,9e-05,0.0,-2.25,-5.89,-0.51
78,3198.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01291,0.01419,-1.00382,-0.00774,0.00647,0.00923,-0.00029,8e-05,0.0,-2.25,-5.89,-0.51
79,3198.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01279,0.01552,-1.00282,-0.0048,0.00778,0.00596,-0.00028,8e-05,0.0,-2.25,-5.89,-0.51
80,3198.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01272,0.01428,-1.00132,-0.00599,0.00905,0.00817,-0.00028,4e-05,0.0,-2.25,-5.89,-0.51
81,3214.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01325,0.01402,-0.99986,-0.00741,0.0062,0.00439,-0.00027,3e-05,0.0,-2.25,-5.89,-0.51
82,3214.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01405,0.01563,-1.00219,-0.00557,0.00854,0.00661,-0.00026,5e-05,0.0,-2.26,-5.89,-0.51
83,3210.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01688,0.01367,-1.00277,-0.00677,0.00789,0.00693,-0.00026,5e-05,0.0,-2.25,-5.89,-0.51
84,3210.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01695,0.01474,-1.00431,-0.00439,0.00731,0.00399,-0.00026,6e-05,0.0,-2.26,-5.89,-0.51
85,3210.0,0.0,0.0,0.0,"[-3, -3, -7, -3]","[21963, 29237, 3500, 23988]","[2245800, 2245801, 2245803, 2245798]","[0, 0, 0, 0]",-0.01701,0.01526,-1.00425,-0.00615,0.00871,0.00596,-0.00027,7e-05,0.0,-2.26,-5.89,-0.51
